Timestamp,Class,Confidence,X,Y,Width,Height,ParticleSize_�m
2025-10-07 10:40:24,PS_count,1,,,,,
2025-10-07 10:40:28,LDPE,0.7630252242088318,65,317,129,103,230.54
2025-10-07 10:40:28,LDPE,0.6322304010391235,620,360,39,118,135.68
2025-10-07 10:40:28,LDPE_count,2,,,,,
2025-10-07 10:40:32,LDPE,0.9185322523117065,171,175,73,113,181.65
2025-10-07 10:40:32,LDPE,0.8672325611114502,314,292,79,79,158.0
2025-10-07 10:40:32,LDPE,0.8613926768302917,83,429,75,100,173.21
2025-10-07 10:40:32,LDPE,0.8324029445648193,69,348,55,59,113.93
2025-10-07 10:40:32,LDPE,0.5799006819725037,183,248,58,42,98.71
2025-10-07 10:40:32,LDPE,0.4211602807044983,407,472,51,16,57.13
2025-10-07 10:40:32,LDPE_count,6,,,,,
2025-10-07 10:40:35,LDPE,0.929861307144165,314,294,91,72,161.89
2025-10-07 10:40:35,LDPE,0.9265401363372803,170,175,83,108,189.36
2025-10-07 10:40:35,LDPE,0.5529497265815735,118,435,101,88,188.55
2025-10-07 10:40:35,LDPE_count,3,,,,,
2025-10-07 10:40:41,LDPE,0.8982664942741394,80,431,75,95,168.82
2025-10-07 10:40:41,LDPE,0.7745451927185059,315,294,79,78,157.0
2025-10-07 10:40:41,LDPE,0.7320773601531982,68,355,44,51,94.74
2025-10-07 10:40:41,LDPE,0.7091641426086426,216,167,97,91,187.9
2025-10-07 10:40:41,LDPE_count,4,,,,,
2025-10-07 10:40:46,LDPE,0.8809443712234497,70,349,49,55,103.83
2025-10-07 10:40:46,LDPE,0.8742983937263489,316,293,79,78,157.0
2025-10-07 10:40:46,LDPE,0.540434718132019,80,418,67,93,157.87
2025-10-07 10:40:46,LDPE_count,3,,,,,
2025-10-07 10:40:52,LDPE,0.8336955308914185,533,203,51,42,92.56
2025-10-07 10:40:52,LDPE,0.7710304856300354,623,444,34,69,96.87
2025-10-07 10:40:52,LDPE,0.7607297897338867,125,396,140,80,211.66
2025-10-07 10:40:52,LDPE_count,3,,,,,
2025-10-07 10:40:58,LDPE,0.7477356195449829,47,405,94,82,175.59
2025-10-07 10:40:58,LDPE,0.4876108169555664,42,464,85,32,104.31
2025-10-07 10:40:58,LDPE,0.4610224962234497,6,72,12,33,39.8
2025-10-07 10:40:58,LDPE,0.4210345149040222,8,104,17,30,45.17
2025-10-07 10:40:58,LDPE_count,4,,,,,
2025-10-07 10:41:04,LDPE,0.8887765407562256,57,412,115,136,250.12
2025-10-07 10:41:04,LDPE,0.6860034465789795,317,386,35,38,72.94
2025-10-07 10:41:04,LDPE,0.6541839241981506,13,104,26,28,53.96
2025-10-07 10:41:04,LDPE,0.4685429334640503,10,72,20,35,52.92
2025-10-07 10:41:04,LDPE,0.44963449239730835,549,64,61,63,123.98
2025-10-07 10:41:04,LDPE_count,5,,,,,
2025-10-07 10:41:09,LDPE,0.8898822069168091,54,415,108,128,235.15
2025-10-07 10:41:09,LDPE,0.8695995807647705,14,105,29,28,56.99
2025-10-07 10:41:09,LDPE,0.6404878497123718,10,74,21,32,51.85
2025-10-07 10:41:09,LDPE,0.48701828718185425,52,252,105,88,192.25
2025-10-07 10:41:09,LDPE,0.4249345660209656,568,72,45,45,90.0
2025-10-07 10:41:09,LDPE_count,5,,,,,
2025-10-07 10:41:13,LDPE,0.8640271425247192,53,387,106,97,202.8
2025-10-07 10:41:13,LDPE,0.8312506079673767,541,222,52,48,99.92
2025-10-07 10:41:13,LDPE,0.7432569861412048,15,108,30,34,63.87
2025-10-07 10:41:13,LDPE,0.7117775082588196,509,261,36,34,69.97
2025-10-07 10:41:13,LDPE,0.6372341513633728,60,248,120,84,200.8
2025-10-07 10:41:13,LDPE,0.5904028415679932,9,73,18,34,49.48
2025-10-07 10:41:13,LDPE,0.4454845190048218,316,383,41,39,79.97
2025-10-07 10:41:13,LDPE_count,7,,,,,
2025-10-07 10:41:18,LDPE,0.6956577897071838,13,104,26,29,54.92
2025-10-07 10:41:18,LDPE,0.4648436903953552,7,68,15,28,40.99
2025-10-07 10:41:18,LDPE,0.41773998737335205,536,23,52,31,80.3
2025-10-07 10:41:18,LDPE_count,3,,,,,
2025-10-07 10:41:23,LDPE,0.8402318358421326,49,405,98,119,215.98
2025-10-07 10:41:23,LDPE,0.7914523482322693,14,105,29,31,59.97
2025-10-07 10:41:23,LDPE,0.5401692986488342,9,73,18,32,48.0
2025-10-07 10:41:23,LDPE_count,3,,,,,
2025-10-07 10:41:27,LDPE,0.7091295719146729,45,415,91,123,211.59
2025-10-07 10:41:27,LDPE,0.6699802279472351,14,106,29,33,61.87
2025-10-07 10:41:27,LDPE,0.515505850315094,8,72,16,30,43.82
2025-10-07 10:41:27,LDPE,0.40282702445983887,632,14,16,28,42.33
2025-10-07 10:41:27,LDPE_count,4,,,,,
2025-10-07 10:41:32,LDPE,0.7267910838127136,13,107,27,25,51.96
2025-10-07 10:41:32,LDPE,0.6536628007888794,54,420,109,118,226.82
2025-10-07 10:41:32,LDPE,0.5476032495498657,11,78,23,33,55.1
2025-10-07 10:41:32,LDPE,0.4290319085121155,632,16,16,33,45.96
2025-10-07 10:41:32,LDPE_count,4,,,,,
2025-10-07 10:41:36,LDPE,0.8963199257850647,47,412,94,133,223.62
2025-10-07 10:41:36,LDPE,0.7698920369148254,539,222,53,45,97.67
2025-10-07 10:41:36,LDPE,0.7138252854347229,16,104,30,33,62.93
2025-10-07 10:41:36,LDPE,0.6085391640663147,59,248,119,79,193.92
2025-10-07 10:41:36,LDPE,0.4743438959121704,8,73,17,32,46.65
2025-10-07 10:41:36,LDPE_count,5,,,,,
2025-10-07 11:02:05,LDPE,0.5684865713119507,534,290,211,101,291.97
2025-10-07 11:02:05,LDPE_count,1,,,,,
2025-10-07 11:02:26,LDPE,0.6695498824119568,69,328,55,27,77.07
2025-10-07 11:02:26,LDPE,0.6159235835075378,511,283,256,52,230.76
2025-10-07 11:02:26,LDPE_count,2,,,,,
2025-10-07 11:02:30,LDPE,0.5760706067085266,76,315,52,22,67.65
2025-10-07 11:02:30,LDPE,0.42207372188568115,486,265,307,67,286.84
2025-10-07 11:02:30,LDPE_count,2,,,,,
2025-10-07 11:06:28,PS,0.8375518918037415,600,203,79,37,108.13
2025-10-07 11:06:28,PS_count,1,,,,,
2025-10-07 11:06:47,LDPE,0.5696548819541931,77,302,72,35,100.4
2025-10-07 11:06:47,LDPE_count,1,,,,,
2025-10-07 12:15:53,LDPE,0.8313748240470886,369,347,63,52,114.47
2025-10-07 12:15:53,LDPE,0.6621744632720947,213,387,123,71,186.9
2025-10-07 12:15:53,LDPE,0.6266990900039673,405,242,61,49,109.34
2025-10-07 12:15:53,LDPE,0.5612200498580933,27,354,54,64,117.58
2025-10-07 12:15:53,LDPE_count,4,,,,,
2025-10-07 12:16:25,LDPE,0.5477500557899475,423,39,53,59,111.84
2025-10-07 12:16:25,LDPE_count,1,,,,,
